PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME
₹ 70 Lakh,SUV,"30,000 Kms",1st Owner,2018,8.9,Petrol,2018,Third Party insurance,9 Speed,Automatic,5 Seats,BANGALORE
₹ 1.95 Lakh,Hatchback,"1,20,000 Kms",3rd Owner,2015,17.88,Diesel,2015,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 7.99 Lakh,Hatchback,"21,280 Kms",1st Owner,2018,18.6,Petrol,2018,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 6.89 Lakh,SUV,"82,021 Kms",1st Owner,2017,15.63,Petrol,2017,Zero Dep,6 Speed,Automatic,5 Seats,BANGALORE
₹ 10.68 Lakh,SUV,"18,998 Kms",1st Owner,2023,17.33,Petrol,2023,Third Party,6 Speed,Manual,5 Seats,BANGALORE
₹ 17.99 Lakh,SUV,"56,189 Kms",1st Owner,2018,16.3,Diesel,2018,Third Party insurance,6 Speed,Manual,5 Seats,BANGALORE
₹ 3.83 Lakh,Hatchback,"57,644 Kms",2nd Owner,2020,21.7,Petrol,2020,Third Party,5 Speed,Manual,5 Seats,BANGALORE
₹ 3.27 Lakh,Hatchback,"51,286 Kms",2nd Owner,2018,24.7,Petrol,2018,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 1.95 Lakh,SUV,"1,20,000 Kms",1st Owner,2012,17.21,Diesel,2012,Third Party insurance,5 Speed ,Manual,7 Seats,BANGALORE
₹ 6.39 Lakh,Hatchback,"27,937 Kms",1st Owner,2019,20.7,Petrol,2019,Third Party insurance,5-Speed,Manual,5 Seats,BANGALORE
₹ 5.75 Lakh,SUV,"64,000 Kms",2nd Owner,2013,20.45,Diesel,2013,Comprehensive,5 speed,Manual,5 Seats,BANGALORE
₹ 6.60 Lakh,SUV,"40,031 Kms",2nd Owner,2017,15.85,Petrol,2017,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 3.25 Lakh,Hatchback,"47,619 Kms",2nd Owner,2017,22.05,Petrol,2017,Comprehensive,5 Speed,Manual,5 Seats,BANGALORE
₹ 2.25 Lakh,Hatchback,"90,000 Kms",5th Owner,2009,17.0,Petrol,2009,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 10.75 Lakh,SUV,"20,000 Kms",1st Owner,2022,18.76,Petrol,2022,Third Party insurance,4 Speed,Automatic,5 Seats,BANGALORE
₹ 9.75 Lakh,SUV,"20,000 Kms",1st Owner,2022,17.03,Petrol,2022,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 3 Lakh,Hatchback,"70,000 Kms",3rd Owner,2010,20.36,Petrol,2010,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 2.90 Lakh,Sedan,"1,10,000 Kms",3rd Owner,2011,21.5,Diesel,2011,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 2.60 Lakh,Hatchback,"40,000 Kms",3rd Owner,2012,19.4,Petrol,2012,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
₹ 3.60 Lakh,Sedan,"1,00,000 Kms",3rd Owner,2012,21.64,Diesel,2012,Third Party insurance,5 Speed,Manual,5 Seats,BANGALORE
