PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME
625000.0,Hatchback,36735,1,2018,18.9,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE
2695000.0,SUV,79000,1,2015,12.07,Diesel,2015,Comprehensive,8,Automatic,7,BANGALORE
650000.0,SUV,120000,2,2010,12.05,Diesel,2010,Third Party insurance,5,Manual,8,BANGALORE
550000.0,Hatchback,10000,1,2022,22.0,Petrol,2022,Third Party insurance,5,Automatic,5,BANGALORE
825000.0,SUV,53645,1,2018,21.5,Diesel,2018,Comprehensive,6,Manual,5,BANGALORE
220000.0,Hatchback,100000,2,2006,15.3,Petrol,2006,Third Party insurance,5,Manual,5,BANGALORE
428000.0,Hatchback,53982,1,2014,26.68,Petrol,2014,Comprehensive,5,Automatic,5,BANGALORE
695000.0,Sedan,110000,1,2014,21.14,Diesel,2014,Third Party insurance,5,Manual,5,BANGALORE
930000.0,SUV,37741,2,2019,15.9,Petrol,2019,Third Party insurance,5,Manual,5,BANGALORE
455000.0,Hatchback,17367,1,2021,22.05,Petrol,2021,Comprehensive,5,Manual,5,BANGALORE
1195000.0,SUV,94000,1,2017,19.67,Diesel,2017,Comprehensive,6,Manual,5,BANGALORE
2175000.0,SUV,33700,1,2021,14.6,Diesel,2021,Comprehensive,6,Automatic,5,BANGALORE
442000.0,Hatchback,54601,3,2014,22.38,Petrol,2014,Comprehensive,5,Manual,5,BANGALORE
690000.0,Hatchback,110000,1,2018,28.4,Diesel,2018,Third Party insurance,5,Manual,5,BANGALORE
500000.0,Hatchback,64000,2,2017,23.1,Petrol,2017,Third Party,5,Manual,5,BANGALORE
3395000.0,Sedan,40525,1,2016,21.76,Diesel,2016,Comprehensive,8,Automatic,5,BANGALORE
650000.0,Sedan,100000,1,2015,26.21,Diesel,2015,Third Party insurance,5,Manual,5,BANGALORE
537000.0,Hatchback,44154,2,2016,19.0,Petrol,2016,Comprehensive,5,Automatic,5,BANGALORE
750000.0,MUV,70000,1,2016,19.98,Diesel,2016,Third Party insurance,6,Manual,7,BANGALORE
1790000.0,Sedan,79000,1,2018,15.1,Petrol,2018,Comprehensive,7,Automatic,5,BANGALORE
468000.0,Hatchback,68039,2,2017,23.84,Petrol,2017,Third Party insurance,5,Manual,5,BANGALORE
420000.0,Hatchback,60000,2,2014,18.5,Petrol,2014,Third Party insurance,5,Manual,5,BANGALORE
420000.0,Hatchback,60000,2,2014,18.5,Petrol,2014,Third Party insurance,5,Manual,5,BANGALORE
920000.0,Hatchback,10000,1,2021,20.0,Petrol,2021,Third Party insurance,6,Manual,5,BANGALORE
533000.0,Sedan,49873,1,2013,16.8,Petrol,2013,Third Party,5,Manual,5,BANGALORE
850000.0,Hatchback,90000,3,2013,17.2,Petrol,2013,Third Party insurance,7,Automatic,5,BANGALORE
751000.0,Sedan,48960,2,2017,21.13,Diesel,2017,Third Party insurance,5,Manual,5,BANGALORE
