price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 16.75 Lakh,SUV,"26,500 Kms",2nd Owner,2021.0,,KA03,Petrol,Jul 2021,2021,Comprehensive,7-speed DCT,Automatic,5 Seats,bangalore,1397 cc
₹ 12.50 Lakh,SUV,"20,000 Kms",1st Owner,2019.0,18.15 kmpl,KA05,Petrol,2019,2019,Third Party insurance,7-Speed,Automatic,5 Seats,bangalore,998 cc
₹ 13.50 Lakh,SUV,"58,600 Kms",1st Owner,2016.0,16 kmpl,KA05,Diesel,Jul 2016,2016,Third Party insurance,6 Speed,Automatic,7 Seats,bangalore,2179 cc
₹ 12.50 Lakh,SUV,"20,000 Kms",1st Owner,2019.0,18.15 kmpl,KA05,Petrol,2019,2019,Third Party insurance,7-Speed,Automatic,5 Seats,bangalore,998 cc
₹ 22.25 Lakh,SUV,"42,050 Kms",1st Owner,2020.0,18.4 kmpl,KA03,Petrol,Aug 2020,2020,Comprehensive,7 Speed DSG,Automatic,5 Seats,bangalore,1498 cc
₹ 4.75 Lakh,Hatchback,"65,017 Kms",1st Owner,2015.0,23.1 kmpl,KA04,Petrol,Jan 2016,2015,2,5 Speed ,Automatic,5 Seats,bangalore,998 cc
₹ 6 Lakh,Sedan,"80,000 Kms",2nd Owner,2008.0,13.2 kmpl,TN09,Diesel,2008,2008,Third Party insurance,6 Speed,Automatic,5 Seats,bangalore,1995 cc
₹ 24.50 Lakh,SUV,"30,000 Kms",1st Owner,2021.0,14.1 kmpl,KA20,Petrol,2021,2021,Third Party insurance,7 Speed DCT,Automatic,5 Seats,bangalore,1368 cc
₹ 16.25 Lakh,SUV,"20,000 Kms",1st Owner,2020.0,16.5 kmpl,KA03,Petrol,2020,2020,Third Party insurance,7-Speed DCT,Automatic,5 Seats,bangalore,1353 cc
₹ 16.50 Lakh,Sedan,"36,349 Kms",1st Owner,2014.0,17.2 kmpl,KA51,Diesel,Dec 2014,2014,,6 Speed,Automatic,5 Seats,bangalore,1968 cc
₹ 2.49 Lakh,Hatchback,"80,000 Kms",3rd Owner,2009.0,20.36 kmpl,,Petrol,2009,2009,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 6.30 Lakh,SUV,"83,394 Kms",2nd Owner,2014.0,13.24 kmpl,KA01,Petrol,May 2014,2014,,5 Speed,Manual,5 Seats,bangalore,1598 cc
₹ 25.99 Lakh,SUV,"30,000 Kms",2nd Owner,2016.0,14.16 kmpl,KA01,Diesel,2016,2016,Third Party insurance,7 Speed,Automatic,5 Seats,bangalore,1968 cc
₹ 2.49 Lakh,Hatchback,"80,000 Kms",3rd Owner,2009.0,20.36 kmpl,,Petrol,2009,2009,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 3.85 Lakh,Hatchback,"52,204 Kms",1st Owner,2017.0,24.39 kmpl,KA13,Petrol,Aug 2017,2017,Third Party,5 Speed,Manual,5 Seats,bangalore,998 cc
