price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 7.62 Lakh,SUV,"38,520 Kms",1st Owner,2017.0,13.06 kmpl,KA41,Petrol,Sept 2017,2017,Comprehensive,5 speed,Manual,5 Seats,bangalore,1598 cc
₹ 16.25 Lakh,SUV,"20,000 Kms",1st Owner,2022.0,15.43 kmpl,KA02,Petrol,2022,2022,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 6.32 Lakh,SUV,"1,10,455 Kms",2nd Owner,2014.0,20.45 kmpl,KA01,Diesel,Jun 2014,2014,Comprehensive,5 speed,Manual,5 Seats,bangalore,1461 cc
₹ 12.18 Lakh,SUV,"26,901 Kms",1st Owner,2020.0,18.15 kmpl,KA03,Petrol,Oct 2020,2020,Comprehensive,7-Speed,Automatic,5 Seats,bangalore,998 cc
₹ 5.24 Lakh,Hatchback,"65,376 Kms",1st Owner,2017.0,18.9 kmpl,KA04,Petrol,Jul 2017,2017,Zero Dep,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 14.05 Lakh,SUV,"28,177 Kms",3rd Owner,2018.0,15.1 kmpl,KA03,Diesel,Aug 2018,2018,Comprehensive,6 Speed,Manual,7 Seats,bangalore,2179 cc
₹ 13.90 Lakh,SUV,"10,000 Kms",1st Owner,2022.0,18.2 kmpl,,Petrol,2022,2022,Third Party insurance,6-Speed iMT,Manual,5 Seats,bangalore,998 cc
₹ 18.90 Lakh,SUV,"30,000 Kms",1st Owner,2021.0,,KA51,Petrol,Jul 2021,2021,Comprehensive,6-Speed DCT,Automatic,5 Seats,bangalore,1451 cc
₹ 12.75 Lakh,SUV,"27,000 Kms",1st Owner,2018.0,13 kmpl,KA04,Petrol,Mar 2018,2018,Third Party insurance,6 Speed,Automatic,5 Seats,bangalore,1591 cc
₹ 2.75 Lakh,Hatchback,"90,000 Kms",3rd Owner,2010.0,19.2 kmpl,KA01,Petrol,2010,2010,Third Party insurance,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 11.25 Lakh,Sedan,"20,000 Kms",1st Owner,2022.0,17.4 kmpl,KA50,Petrol,2022,2022,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 6.50 Lakh,Sedan,"82,998 Kms",1st Owner,2016.0,18 kmpl,KA01,Petrol,Mar 2016,2016,Comprehensive,5 Speed CVT,Automatic,5 Seats,bangalore,1497 cc
₹ 7 Lakh,Sedan,"1,10,000 Kms",3rd Owner,2010.0,12.3 kmpl,KA51,Petrol,2010,2010,Third Party insurance,7 Speed,Automatic,5 Seats,bangalore,1781 cc
₹ 11 Lakh,Sedan,"14,500 Kms",1st Owner,2019.0,17.14 kmpl,,Petrol,2019,2019,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 2.60 Lakh,Sedan,"1,20,000 Kms",3rd Owner,2016.0,21.03 kmpl,KA05,Diesel,2016,2016,Third Party insurance,5-Speed,Manual,5 Seats,bangalore,1461 cc
₹ 3.95 Lakh,Hatchback,"68,000 Kms",2nd Owner,2010.0,19.2 kmpl,KA51,Petrol,Aug 2010,2010,Comprehensive,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 6.81 Lakh,Sedan,"25,887 Kms",1st Owner,2019.0,20.14 kmpl,KA63,Petrol,Nov 2019,2019,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 4.05 Lakh,Hatchback,"74,094 Kms",1st Owner,2020.0,21.7 kmpl,KA04,Petrol,Jul 2020,2020,Comprehensive,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 7.65 Lakh,Hatchback,"40,000 Kms",1st Owner,2018.0,19 kmpl,KA03,Petrol,Jun 2018,2018,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1199 cc
₹ 4.87 Lakh,Hatchback,"91,045 Kms",1st Owner,2014.0,23.2 kmpl,KA05,Diesel,Nov 2014,2014,Third Party,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 14.74 Lakh,SUV,"80,033 Kms",1st Owner,2018.0,15.1 kmpl,KA51,Diesel,Feb 2019,2018,Third Party insurance,6 Speed,Manual,7 Seats,bangalore,2179 cc
₹ 13.40 Lakh,SUV,"70,000 Kms",2nd Owner,2017.0,16 kmpl,KA51,Diesel,2017,2017,Third Party insurance,6 Speed,Automatic,7 Seats,bangalore,2179 cc
₹ 7.70 Lakh,MUV,"13,957 Kms",1st Owner,2021.0,18.2 kmpl,KA53,Petrol,Dec 2021,2021,Comprehensive,5 Speed,Automatic,7 Seats,bangalore,999 cc
₹ 8.18 Lakh,Hatchback,"34,140 Kms",2nd Owner,2018.0,21.4 kmpl,KA03,Petrol,Aug 2018,2018,Third Party insurance,CVT,Automatic,5 Seats,bangalore,1197 cc
₹ 7.24 Lakh,SUV,"20,056 Kms",1st Owner,2017.0,17 kmpl,KA02,Petrol,Jun 2017,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 4.68 Lakh,Hatchback,"38,233 Kms",3rd Owner,2016.0,26 kmpl,KA51,Petrol,Jun 2016,2016,Comprehensive,5-Speed,Automatic,5 Seats,bangalore,998 cc
₹ 5 Lakh,Sedan,"1,00,000 Kms",1st Owner,2013.0,14.69 kmpl,KA03,Petrol,2013,2013,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1390 cc
₹ 6 Lakh,SUV,"50,000 Kms",2nd Owner,2016.0,22.77 kmpl,,Diesel,2016,2016,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 13.50 Lakh,SUV,"70,000 Kms",2nd Owner,2017.0,16 kmpl,KA51,Diesel,2017,2017,Third Party insurance,6 Speed ,Manual,7 Seats,bangalore,2179 cc
₹ 5.25 Lakh,Hatchback,"44,000 Kms",1st Owner,2016.0,18.9 kmpl,KA04,Petrol,Aug 2016,2016,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 1.75 Lakh,Hatchback,"90,000 Kms",2nd Owner,2006.0,15.3 kmpl,KA04,Petrol,2006,2006,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1341 cc
₹ 7.25 Lakh,Sedan,"30,000 Kms",1st Owner,2016.0,19.12 kmpl,,Petrol,2016,2016,Third Party insurance,4 Speed,Automatic,5 Seats,bangalore,1373 cc
₹ 5.50 Lakh,Hatchback,"50,000 Kms",1st Owner,2018.0,18.9 kmpl,,Petrol,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 6.50 Lakh,Hatchback,"98,000 Kms",1st Owner,2019.0,22 kmpl,KA51,Petrol,Jul 2019,2019,Comprehensive,5,Manual,5 Seats,bangalore,1197 cc
₹ 7.75 Lakh,Hatchback,"47,000 Kms",1st Owner,2017.0,18.2 kmpl,KA03,Petrol,May 2017,2017,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1199 cc
₹ 9 Lakh,Sedan,"70,000 Kms",1st Owner,2019.0,17 kmpl,KA02,Petrol,2019,2019,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1591 cc
₹ 4.08 Lakh,Hatchback,"16,998 Kms",1st Owner,2020.0,22.05 kmpl,KA26,Petrol,Nov 2020,2020,Comprehensive,5 Speed,Manual,5 Seats,bangalore,796 cc
₹ 6.42 Lakh,Hatchback,"15,256 Kms",1st Owner,2017.0,18.9 kmpl,KA53,Petrol,Aug 2017,2017,Comprehensive,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 9 Lakh,Sedan,"70,000 Kms",1st Owner,2019.0,17 kmpl,KA02,Petrol,2019,2019,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1591 cc
₹ 5.21 Lakh,Hatchback,"4,495 Kms",1st Owner,2020.0,22.5 kmpl,KA01,Petrol,Jun 2020,2020,Comprehensive,5-Speed,Automatic,5 Seats,bangalore,999 cc
₹ 6.95 Lakh,MUV,"34,561 Kms",1st Owner,2020.0,20 kmpl,KA11,Petrol,Sept 2020,2020,Zero Dep,5 Speed,Manual,7 Seats,bangalore,999 cc
₹ 3.90 Lakh,Hatchback,"40,000 Kms",2nd Owner,2018.0,23.95 kmpl,KA05,Petrol,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 4.29 Lakh,Hatchback,"1,42,135 Kms",1st Owner,2016.0,23.84 kmpl,KA03,Petrol,Jun 2016,2016,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 5.20 Lakh,Sedan,"1,20,000 Kms",1st Owner,2021.0,18.5 kmpl,KA14,Petrol,2021,2021,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1194 cc
₹ 6.25 Lakh,Hatchback,"9,553 Kms",1st Owner,2019.0,20.52 kmpl,KA03,Petrol,Jun 2019,2019,Third Party,5 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 6.01 Lakh,Hatchback,"7,600 Kms",1st Owner,2022.0,21.46 kmpl,KA50,Petrol,Jul 2022,2022,Zero Dep,5 Speed,Manual,5 Seats,bangalore,999 cc
₹ 13 Lakh,SUV,"1,20,000 Kms",1st Owner,2017.0,17.1 kmpl,KA36,Diesel,2017,2017,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1956 cc
₹ 6.45 Lakh,Hatchback,"20,000 Kms",1st Owner,2017.0,18.9 kmpl,KA51,Petrol,Jul 2017,2017,Comprehensive,4 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 19.75 Lakh,SUV,"1,20,000 Kms",2nd Owner,2013.0,12.07 kmpl,KA03,Diesel,2013,2013,Third Party insurance,8 Speed Tiptronic,Automatic,7 Seats,bangalore,2967 cc
₹ 6.95 Lakh,Hatchback,"45,578 Kms",1st Owner,2016.0,18.6 kmpl,KA03,Petrol,Jan 2016,2016,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 5 Lakh,Sedan,"1,00,000 Kms",1st Owner,2013.0,14.69 kmpl,KA03,Petrol,2013,2013,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1390 cc
₹ 16.44 Lakh,Sedan,"1,00,000 Kms",2nd Owner,2014.0,22.69 kmpl,KA51,Diesel,Aug 2014,2014,Comprehensive,8 Speed,Automatic,5 Seats,bangalore,1995 cc
₹ 8.95 Lakh,SUV,"42,000 Kms",1st Owner,2019.0,17 kmpl,KA03,Petrol,Nov 2019,2019,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 3.50 Lakh,Hatchback,"90,000 Kms",2nd Owner,2013.0,20.36 kmpl,KA42,Petrol,2013,2013,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 5.50 Lakh,Sedan,"70,000 Kms",1st Owner,2012.0,22.32 kmpl,KA05,Diesel,2012,2012,Third Party insurance,6 Speed ,Manual,5 Seats,bangalore,1582 cc
₹ 7.50 Lakh,SUV,"1,00,000 Kms",3rd Owner,2010.0,11.4 kmpl,,Diesel,2010,2010,Third Party insurance,5 Speed,Automatic,7 Seats,bangalore,2953 cc
₹ 5.81 Lakh,Hatchback,"16,306 Kms",1st Owner,2017.0,20.89 kmpl,KA05,Petrol,Mar 2017,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 5.13 Lakh,Hatchback,"25,086 Kms",3rd Owner,2020.0,20.52 kmpl,KA40,Petrol,Jun 2020,2020,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 6.50 Lakh,Hatchback,"54,845 Kms",1st Owner,2017.0,21.01 kmpl,KA53,Petrol,Sept 2017,2017,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 8.06 Lakh,Hatchback,"35,642 Kms",1st Owner,2020.0,24.4 kmpl,KA19,Diesel,May 2020,2020,Comprehensive,5-Speed,Manual,5 Seats,bangalore,1498 cc
₹ 7.25 Lakh,Hatchback,"22,173 Kms",1st Owner,2016.0,21.4 kmpl,KA03,Petrol,Jun 2016,2016,Third Party,CVT,Automatic,5 Seats,bangalore,1197 cc
₹ 49.50 Lakh,Sedan,"50,000 Kms",1st Owner,2018.0,17.42 kmpl,KA51,Diesel,Jul 2018,2018,Comprehensive,8-Speed Steptronic,Automatic,5 Seats,bangalore,2993 cc
₹ 4.26 Lakh,Hatchback,"67,790 Kms",1st Owner,2014.0,18.9 kmpl,KA51,Petrol,Jun 2014,2014,Third Party,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 4.85 Lakh,Hatchback,"38,000 Kms",1st Owner,2019.0,23.95 kmpl,KA05,Petrol,Jan 2019,2019,Comprehensive,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 3.51 Lakh,Hatchback,"49,713 Kms",2nd Owner,2012.0,19.4 kmpl,KA51,Petrol,Jun 2012,2012,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1198 cc
₹ 4.90 Lakh,Hatchback,"10,002 Kms",1st Owner,2021.0,21.46 kmpl,KA09,Petrol,Apr 2021,2021,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,999 cc
₹ 14.95 Lakh,SUV,"46,706 Kms",1st Owner,2017.0,16 kmpl,KA04,Diesel,Jan 2017,2017,Third Party insurance,6 Speed,Manual,7 Seats,bangalore,2179 cc
₹ 5.10 Lakh,Hatchback,"90,000 Kms",2nd Owner,2014.0,25.2 kmpl,,Diesel,2014,2014,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1248 cc
₹ 27.50 Lakh,SUV,"1,06,000 Kms",1st Owner,2016.0,18.56 kmpl,KA51,Diesel,Jun 2016,2016,Comprehensive,8 Speed,Automatic,5 Seats,bangalore,1995 cc
₹ 10.25 Lakh,Hatchback,"55,833 Kms",1st Owner,2017.0,17.21 kmpl,KA03,Petrol,Jul 2017,2017,Third Party insurance,7 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 23.45 Lakh,SUV,"46,716 Kms",2nd Owner,2015.0,15.73 kmpl,KA51,Diesel,Apr 2015,2015,Third Party insurance,7-Speed S-Tronic ,Automatic,5 Seats,bangalore,1968 cc
₹ 8.25 Lakh,Sedan,"54,000 Kms",1st Owner,2016.0,21.13 kmpl,KA01,Diesel,Oct 2016,2016,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 6.75 Lakh,SUV,"68,000 Kms",2nd Owner,2016.0,21.7 kmpl,KA01,Diesel,Aug 2016,2016,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 1.90 Lakh,Hatchback,"1,13,348 Kms",3rd Owner,2010.0,20 kmpl,KA14,Diesel,Jun 2010,2010,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1399 cc
₹ 8.90 Lakh,Sedan,"1,34,000 Kms",1st Owner,2014.0,17.68 kmpl,HR26,Diesel,Mar 2016,2014,Third Party insurance,8 Speed,Automatic,5 Seats,bangalore,1968 cc
₹ 8.23 Lakh,SUV,"20,000 Kms",1st Owner,2022.0,19.03 kmpl,KA01,Petrol,2022,2022,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,999 cc
₹ 5.54 Lakh,Hatchback,"52,311 Kms",1st Owner,2014.0,22.38 kmpl,KA19,Petrol,Mar 2014,2014,Comprehensive,5-Speed,Manual,5 Seats,bangalore,1197 cc
₹ 4.99 Lakh,Sedan,"59,514 Kms",1st Owner,2014.0,22.41 kmpl,KA53,Petrol,Jan 2015,2014,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 8.15 Lakh,SUV,"10,000 Kms",1st Owner,2022.0,19.03 kmpl,KA53,Petrol,2022,2022,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,999 cc
₹ 7.19 Lakh,Hatchback,"36,743 Kms",1st Owner,2020.0,21.01 kmpl,KA03,Petrol,Dec 2020,2020,Third Party,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 3.72 Lakh,Hatchback,"83,046 Kms",1st Owner,2015.0,25.24 kmpl,KA04,Petrol,Oct 2015,2015,Third Party,5-Speed,Manual,5 Seats,bangalore,998 cc
₹ 5.15 Lakh,Hatchback,"10,000 Kms",1st Owner,2018.0,23.1 kmpl,KA04,Petrol,2018,2018,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,998 cc
₹ 5.54 Lakh,Hatchback,"59,420 Kms",2nd Owner,2016.0,18.7 kmpl,KA04,Petrol,Mar 2016,2016,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 7 Lakh,Sedan,"4,545 Kms",1st Owner,2023.0,20.3 kmpl,KA41,Petrol,Mar 2023,2023,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 4.10 Lakh,Hatchback,"70,404 Kms",1st Owner,2011.0,22.38 kmpl,KA05,Petrol,Jul 2011,2011,Third Party insurance,5-Speed,Manual,5 Seats,bangalore,1197 cc
₹ 6.85 Lakh,Sedan,"39,725 Kms",1st Owner,2016.0,20.73 kmpl,KA05,Petrol,Jun 2016,2016,Third Party,5 Speed,Manual,5 Seats,bangalore,1373 cc
₹ 55 Lakh,Sedan,"10,000 Kms",1st Owner,2022.0,16.13 kmpl,,Petrol,2022,2022,Third Party insurance,8-Speed Steptronic Sport Automatic Transmission,Automatic,5 Seats,bangalore,1998 cc
₹ 18 Lakh,SUV,"10,000 Kms",1st Owner,2022.0,17.8 kmpl,KA01,Diesel,2022,2022,Third Party insurance,6-Speed,Automatic,5 Seats,bangalore,1493 cc
₹ 1.80 Lakh,Hatchback,"60,000 Kms",2nd Owner,2006.0,18.9 kmpl,KA03,Petrol,2006,2006,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 7.65 Lakh,SUV,"50,000 Kms",2nd Owner,2018.0,17 kmpl,KA04,Petrol,2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 19.50 Lakh,SUV,"10,000 Kms",1st Owner,2023.0,13.79 kmpl,KA14,Petrol,2023,2023,Third Party insurance,6-speed,Manual,5 Seats,bangalore,1451 cc
₹ 4.91 Lakh,Sedan,"50,000 Kms",3rd Owner,2013.0,16.3 kmpl,KA01,Petrol,2013,2013,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1797 cc
₹ 11.75 Lakh,SUV,"23,272 Kms",1st Owner,2021.0,21.7 kmpl,KA02,Diesel,Mar 2021,2021,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1498 cc
₹ 9.99 Lakh,SUV,"8,407 Kms",1st Owner,2020.0,15.9 kmpl,KA01,Petrol,Sept 2020,2020,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1496 cc
₹ 7.15 Lakh,Hatchback,"50,000 Kms",1st Owner,2018.0,21.21 kmpl,,Petrol,2018,2018,Third Party insurance,5,Automatic,5 Seats,bangalore,1197 cc
₹ 34 Lakh,Sedan,"10,000 Kms",1st Owner,2018.0,18.25 kmpl,,Diesel,2018,2018,Third Party insurance,7 Speed,Automatic,5 Seats,bangalore,1968 cc
₹ 17.79 Lakh,SUV,"14,881 Kms",1st Owner,2021.0,,KA53,Petrol,Feb 2021,2021,Comprehensive,7-speed DCT,Automatic,5 Seats,bangalore,1353 cc
₹ 4.04 Lakh,Hatchback,"54,305 Kms",1st Owner,2012.0,18.5 kmpl,KA01,Petrol,Nov 2012,2012,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 3.58 Lakh,Hatchback,"50,000 Kms",2nd Owner,2016.0,19.81 kmpl,KA51,Petrol,2016,2016,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1086 cc
₹ 5.81 Lakh,Hatchback,"64,998 Kms",1st Owner,2017.0,20.89 kmpl,KA03,Petrol,Mar 2017,2017,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 6.30 Lakh,Hatchback,"75,940 Kms",1st Owner,2015.0,18.6 kmpl,KA51,Petrol,Dec 2015,2015,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 5.60 Lakh,Hatchback,"25,639 Kms",1st Owner,2016.0,18.7 kmpl,KA03,Petrol,May 2016,2016,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 15.51 Lakh,SUV,"44,107 Kms",1st Owner,2019.0,15.1 kmpl,KA03,Diesel,Jun 2019,2019,Third Party insurance,6 Speed,Manual,7 Seats,bangalore,2179 cc
₹ 5.25 Lakh,Sedan,"60,000 Kms",2nd Owner,2014.0,17.01 kmpl,,Petrol,2014,2014,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1591 cc
₹ 5.01 Lakh,Hatchback,"41,594 Kms",1st Owner,2018.0,23.1 kmpl,KA05,Petrol,Feb 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 6.17 Lakh,Hatchback,"24,786 Kms",2nd Owner,2020.0,20.52 kmpl,KA03,Petrol,Jan 2021,2020,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 3.65 Lakh,Hatchback,"56,000 Kms",1st Owner,2017.0,23.95 kmpl,KA03,Petrol,Feb 2017,2017,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 9.95 Lakh,Sedan,"90,000 Kms",1st Owner,2018.0,18.3 kmpl,KA05,Petrol,Oct 2018,2018,Comprehensive,CVT,Automatic,5 Seats,bangalore,1498 cc
₹ 7.75 Lakh,Hatchback,"31,000 Kms",2nd Owner,2019.0,18.6 kmpl,KA04,Petrol,Aug 2019,2019,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 47 Lakh,SUV,"30,000 Kms",2nd Owner,2018.0,16.38 kmpl,,Diesel,2018,2018,Third Party insurance,8 Speed,Automatic,5 Seats,bangalore,1999 cc
₹ 7.70 Lakh,Sedan,"36,000 Kms",1st Owner,2017.0,17.7 kmpl,KA05,Petrol,Jul 2017,2017,Comprehensive,6 Speed,Manual,5 Seats,bangalore,1591 cc
₹ 7.25 Lakh,Hatchback,"19,065 Kms",1st Owner,2018.0,22 kmpl,KA53,Petrol,Feb 2018,2018,Third Party insurance,5,Manual,5 Seats,bangalore,1197 cc
₹ 8.40 Lakh,Hatchback,"30,538 Kms",1st Owner,2019.0,18.2 kmpl,KA05,Petrol,Feb 2019,2019,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1199 cc
₹ 7.99 Lakh,Hatchback,"48,891 Kms",2nd Owner,2018.0,18.6 kmpl,KA01,Petrol,Apr 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 13.80 Lakh,Hatchback,"60,000 Kms",2nd Owner,2014.0,15.5 kmpl,KA05,Petrol,2014,2014,Third Party insurance,7G DCT 7-Speed Dual Clutch Transmission ,Automatic,5 Seats,bangalore,1595 cc
₹ 6.96 Lakh,Hatchback,"26,676 Kms",1st Owner,2018.0,22 kmpl,KA51,Petrol,May 2018,2018,Third Party,5,Manual,5 Seats,bangalore,1197 cc
₹ 5.76 Lakh,Hatchback,"35,647 Kms",1st Owner,2015.0,22.38 kmpl,KA51,Petrol,Feb 2015,2015,Comprehensive,5-Speed,Manual,5 Seats,bangalore,1197 cc
₹ 7.21 Lakh,Hatchback,"63,825 Kms",1st Owner,2020.0,22.35 kmpl,KA01,Petrol,Mar 2020,2020,Zero Dep,5-Speed,Manual,5 Seats,bangalore,1197 cc
₹ 9.95 Lakh,Sedan,"31,346 Kms",2nd Owner,2018.0,17.4 kmpl,KA03,Petrol,Jan 2018,2018,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 5.94 Lakh,Hatchback,"79,349 Kms",2nd Owner,2015.0,18.6 kmpl,KA03,Petrol,Aug 2015,2015,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 9.27 Lakh,SUV,"88,203 Kms",1st Owner,2015.0,15.1 kmpl,KA03,Diesel,Apr 2015,2015,Comprehensive,6 Speed ,Manual,7 Seats,bangalore,2179 cc
₹ 32.75 Lakh,SUV,"37,370 Kms",1st Owner,2018.0,15.17 kmpl,KA01,Diesel,Jun 2018,2018,Comprehensive,7-Speed S-Tronic,Automatic,5 Seats,bangalore,1968 cc
₹ 4.26 Lakh,Hatchback,"52,228 Kms",1st Owner,2015.0,20.51 kmpl,KA53,Petrol,May 2015,2015,Comprehensive,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 11 Lakh,SUV,"70,000 Kms",1st Owner,2015.0,17.01 kmpl,KA04,Diesel,2015,2015,Third Party insurance,6 Speed,Automatic,5 Seats,bangalore,1582 cc
₹ 9.05 Lakh,SUV,"40,542 Kms",1st Owner,2022.0,20 kmpl,KA19,Petrol,Mar 2022,2022,Zero Dep,5 Speed,Manual,5 Seats,bangalore,999 cc
₹ 8.48 Lakh,SUV,"47,936 Kms",1st Owner,2019.0,14.99 kmpl,KA03,Petrol,Jun 2019,2019,Comprehensive,5 speed,Automatic,5 Seats,bangalore,1498 cc
₹ 4 Lakh,SUV,"10,000 Kms",3rd Owner,,,,Petrol,,1995,Third Party insurance,,Manual,6 Seats,bangalore,
₹ 5.75 Lakh,Sedan,"70,000 Kms",2nd Owner,2008.0,11.9 kmpl,KA01,Diesel,2008,2008,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,2496 cc
₹ 4 Lakh,Sedan,"1,10,000 Kms",5th Owner,2013.0,16.8 kmpl,,Petrol,2013,2013,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1497 cc
₹ 4 Lakh,SUV,"10,000 Kms",3rd Owner,,,KA18,Petrol,,1995,Third Party insurance,,Manual,8 Seats,bangalore,
₹ 8.95 Lakh,SUV,"45,000 Kms",2nd Owner,2016.0,15.29 kmpl,KA01,Petrol,Jul 2016,2016,Comprehensive,6 Speed,Manual,5 Seats,bangalore,1591 cc
₹ 10.99 Lakh,SUV,"20,469 Kms",1st Owner,2019.0,18.27 kmpl,KA03,Petrol,Aug 2019,2019,Third Party insurance,6-Speed,Manual,5 Seats,bangalore,998 cc
₹ 4.25 Lakh,Hatchback,"60,000 Kms",1st Owner,2011.0,17 kmpl,,Petrol,2011,2011,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 4.45 Lakh,Sedan,"70,000 Kms",2nd Owner,2012.0,19.1 kmpl,KA05,Petrol,Aug 2012,2012,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 3.20 Lakh,Sedan,"1,50,000 Kms",4th Owner,2014.0,20.5 kmpl,,Diesel,2014,2014,Third Party insurance,5-speed,Manual,5 Seats,bangalore,1598 cc
₹ 7.75 Lakh,Sedan,"46,258 Kms",2nd Owner,2017.0,16.09 kmpl,KA32,Petrol,Aug 2017,2017,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1598 cc
₹ 3.27 Lakh,Hatchback,"54,242 Kms",3rd Owner,2013.0,18.9 kmpl,KA51,Petrol,Aug 2013,2013,Comprehensive,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 6.61 Lakh,Hatchback,"90,727 Kms",1st Owner,2017.0,19 kmpl,KA01,Petrol,Dec 2017,2017,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1199 cc
₹ 7.75 Lakh,SUV,"1,00,000 Kms",1st Owner,2012.0,15.1 kmpl,KA51,Diesel,Aug 2012,2012,Comprehensive,6 Speed,Manual,7 Seats,bangalore,2179 cc
₹ 6.82 Lakh,Sedan,"31,003 Kms",1st Owner,2017.0,21.21 kmpl,KA09,Petrol,Sept 2017,2017,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
