price,bt,Kms Driven,owner,Year of Manufacture,Mileage,RTO,Fuel Type,Registration Year,modelYear,Insurance Validity,Gear Box,Transmission,Seats,City,Engine Displacement
₹ 3 Lakh,Hatchback,"67,000 Kms",1st Owner,2010,16.47,KA03,Petrol,2010,2010,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1198 cc
₹ 13.50 Lakh,SUV,"30,000 Kms",1st Owner,2020,18.9,KA03,Electric,2020,2020,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,0 cc
₹ 14.50 Lakh,SUV,"21,236 Kms",1st Owner,2022,18.9,KA05,Electric,Nov 2022,2022,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,0 cc
₹ 5.46 Lakh,Hatchback,"47,488 Kms",2nd Owner,2017,20.89,KA04,Petrol,May 2017,2017,Comprehensive,5 Speed,Automatic,5 Seats,bangalore,1197 cc
₹ 5.33 Lakh,Hatchback,"56,814 Kms",1st Owner,2016,18.7,KA03,Petrol,Mar 2016,2016,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1199 cc
₹ 1.60 Lakh,Sedan,"90,000 Kms",1st Owner,2004,14.5,KA03,Petrol,2004,2004,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,1493 cc
₹ 3.32 Lakh,Hatchback,"63,206 Kms",1st Owner,2012,20.36,KA53,Petrol,Mar 2012,2012,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 8.09 Lakh,Sedan,"61,103 Kms",2nd Owner,2018,21.56,KA01,Petrol,Oct 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1462 cc
₹ 2 Lakh,Hatchback,"70,000 Kms",1st Owner,2008,19.7,KA03,Petrol,2008,2008,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,796 cc
₹ 3.47 Lakh,Hatchback,"1,12,268 Kms",3rd Owner,2015,23.1,KA41,Petrol,Mar 2016,2015,Comprehensive,5 Speed ,Automatic,5 Seats,bangalore,998 cc
₹ 1.50 Lakh,Hatchback,"70,000 Kms",2nd Owner,2006,16.1,MH03,Petrol,2006,2006,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1298 cc
₹ 13.59 Lakh,SUV,"97,346 Kms",1st Owner,2021,20.08,KA09,Petrol,Jan 2022,2021,Comprehensive,6-Speed,Manual,5 Seats,bangalore,999 cc
₹ 5.43 Lakh,Hatchback,"36,977 Kms",2nd Owner,2018,18.9,KA05,Petrol,Nov 2018,2018,Comprehensive,5 Speed,Manual,5 Seats,bangalore,1197 cc
₹ 1.50 Lakh,Hatchback,"70,000 Kms",3rd Owner,2006,16.1,MH03,Petrol,2006,2006,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1298 cc
₹ 4.75 Lakh,Hatchback,"60,000 Kms",2nd Owner,2013,21.27,KA03,Diesel,2013,2013,Third Party insurance,6 Speed,Manual,5 Seats,bangalore,1396 cc
₹ 1.10 Lakh,Hatchback,"80,000 Kms",2nd Owner,2003,18.9,KA03,Petrol,2003,2003,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1086 cc
₹ 3.50 Lakh,Hatchback,"35,000 Kms",2nd Owner,2016,24.04,KA53,Petrol,2016,2016,Third Party insurance,5 Speed,Automatic,5 Seats,bangalore,999 cc
₹ 1.35 Lakh,Hatchback,"1,00,000 Kms",3rd Owner,2006,15.3,KA05,Petrol,2006,2006,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,1341 cc
₹ 1.70 Lakh,Hatchback,"90,000 Kms",2nd Owner,2005,18.9,KA05,Petrol,2005,2005,Third Party insurance,5 Speed,Manual,5 Seats,bangalore,998 cc
₹ 28.50 Lakh,SUV,"85,700 Kms",1st Owner,2018,20.68,KA01,Diesel,Oct 2018,2018,Comprehensive,8 Speed,Automatic,5 Seats,bangalore,1995 cc
₹ 27.50 Lakh,Sedan,"50,000 Kms",1st Owner,2016,19.27,KA01,Diesel,Aug 2016,2016,Comprehensive,7 Speed,Automatic,5 Seats,bangalore,2143 cc
₹ 14.49 Lakh,MUV,"50,000 Kms",2nd Owner,2015,12.99,KA05,Diesel,2015,2015,Third Party insurance,5 Speed,Manual,7 Seats,bangalore,2494 cc
