PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME,INSURANCE_ENCODED,INSURANCE_MAPPED,CITY_ENCODED,TRANSMISSION_ENCODED,BODY_TYPE_ENCODED,city_ENCODED,FUEL_TYPE_ENCODED
-0.3938806545423406,Hatchback,0.8234056004940137,2.554909893526558,-0.40685139974806,0.9732082381876632,Petrol,-0.3833497906515786,Third Party insurance,-0.228539740517207,Manual,-0.3060267590065973,BANGALORE,4.0,Third Party insurance,0.0,0,2,0,4.0
-0.1026967935808973,SUV,-0.3551070140076068,0.9968880589368976,0.3813721344819564,-0.5662151896931866,Petrol,0.3819161942034531,Comprehensive,-0.228539740517207,Manual,-0.3060267590065973,BANGALORE,5.0,Comprehensive,0.0,0,7,0,4.0
-0.2628124932823236,Hatchback,-0.6353368847800556,-0.5611337756527629,0.3813721344819564,1.159957965504356,Petrol,0.3819161942034531,Comprehensive,-0.228539740517207,Manual,-0.3060267590065973,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
-0.3499551086065511,Sedan,-0.5564264644560702,-0.5611337756527629,-0.6695925778247321,-0.0362497473079758,Petrol,-0.6384384522699226,Comprehensive,-0.228539740517207,Manual,-0.3060267590065973,BANGALORE,5.0,Comprehensive,0.0,0,8,0,4.0
-0.1175748010752776,SUV,0.0133756228312048,-0.5611337756527629,-0.40685139974806,1.1120087111933128,Diesel,-0.3833497906515786,Third Party insurance,-0.228539740517207,Manual,-0.3060267590065973,BANGALORE,4.0,Third Party insurance,0.0,0,7,0,3.0
0.6688341664848245,SUV,-0.5266443622773344,-0.5611337756527629,0.9068544906353008,-0.5409787400557953,Diesel,0.892093517440141,Third Party insurance,0.5293023887236339,Manual,-0.3060267590065973,BANGALORE,4.0,Third Party insurance,0.0,0,7,0,3.0
-0.43284686464667,Hatchback,-0.2867134828936103,-0.5611337756527629,0.1186309564052843,0.3498679321441055,Petrol,0.1268275325851091,Comprehensive,-0.228539740517207,Manual,-0.3060267590065973,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
0.1729005833388141,SUV,-0.3916393660001995,-0.5611337756527629,1.1695956687119728,-0.2759960188631908,Petrol,1.1471821790584849,Third Party insurance,1.2871445179644747,Automatic,-0.3060267590065973,BANGALORE,4.0,Third Party insurance,0.0,1,7,0,4.0
0.0028662119744677,Sedan,-0.2971358686062052,-0.5611337756527629,0.3813721344819564,0.2615403584132376,Petrol,0.3819161942034531,Comprehensive,-0.986381869758048,Automatic,-0.3060267590065973,BANGALORE,5.0,Comprehensive,0.0,1,8,0,4.0
-0.2628124932823236,Hatchback,-0.6353368847800556,-0.5611337756527629,0.1186309564052843,1.159957965504356,Petrol,0.1268275325851091,Comprehensive,-0.228539740517207,Manual,-0.3060267590065973,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
-0.188422455810422,Hatchback,-0.1216293734459299,-0.5611337756527629,0.3813721344819564,0.5441885943520158,Petrol,0.3819161942034531,Third Party insurance,-0.228539740517207,Manual,-0.3060267590065973,BANGALORE,4.0,Third Party insurance,0.0,0,2,0,4.0
-0.1940902681892335,Hatchback,-0.4606674205966986,-0.5611337756527629,0.6441133125586286,-0.0867226465827584,Petrol,0.637004855821797,Third Party insurance,-0.986381869758048,Automatic,-0.3060267590065973,BANGALORE,4.0,Third Party insurance,0.0,1,2,0,4.0
-0.0927781219179771,Hatchback,-0.4861428633941939,-0.5611337756527629,0.3813721344819564,-0.2633777940444951,Petrol,0.3819161942034531,Comprehensive,-0.228539740517207,Automatic,-0.3060267590065973,BANGALORE,5.0,Comprehensive,0.0,1,2,0,4.0
