PRICE,BODY_TYPE,KILOMETERS_DRIVEN,NUMBER_OF_OWNERS,YEAR_OF_MANUFACTURE,MILEAGE,FUEL_TYPE,MODEL_YEAR,INSURANCE_VALIDITY,NUMBER_OF_GEARS,TRANSMISSION,SEATS,CITY_NAME,INSURANCE_ENCODED,INSURANCE_MAPPED,CITY_ENCODED,TRANSMISSION_ENCODED,BODY_TYPE_ENCODED,city_ENCODED,FUEL_TYPE_ENCODED
492000.0,Hatchback,57770,1,2013,22.38,Petrol,2013,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
544000.0,Hatchback,42220,3,2017,18.9,Petrol,2017,Third Party,4,Automatic,5,BANGALORE,3.0,Third Party,0.0,1,2,0,4.0
1365000.0,SUV,66977,1,2016,16.0,Diesel,2016,Third Party insurance,6,Automatic,7,BANGALORE,4.0,Third Party insurance,0.0,1,7,0,3.0
1085000.0,SUV,29916,1,2021,18.0,Petrol,2021,Third Party,6,Manual,5,BANGALORE,3.0,Third Party,0.0,0,7,0,4.0
1488000.0,Sedan,10066,1,2022,18.07,Petrol,2022,Third Party,6,Automatic,5,BANGALORE,3.0,Third Party,0.0,1,8,0,4.0
939000.0,Sedan,39243,2,2019,14.84,Petrol,2019,Comprehensive,6,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,8,0,4.0
888000.0,Sedan,36309,2,2017,14.84,Petrol,2017,Third Party insurance,6,Automatic,5,BANGALORE,4.0,Third Party insurance,0.0,1,8,0,4.0
425000.0,Hatchback,69408,1,2014,23.1,Petrol,2014,Third Party,5,Automatic,5,BANGALORE,3.0,Third Party,0.0,1,2,0,4.0
818000.0,Sedan,12064,2,2019,19.0,Petrol,2019,Third Party insurance,0,Automatic,5,BANGALORE,4.0,Third Party insurance,0.0,1,8,0,4.0
1944000.0,Sedan,74000,1,2013,14.21,Diesel,2013,Comprehensive,5,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,8,0,3.0
695000.0,Hatchback,18000,1,2018,22.0,Petrol,2018,Comprehensive,5,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,2,0,4.0
475000.0,Sedan,59000,1,2010,14.4,Petrol,2010,Comprehensive,6,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,8,0,4.0
551000.0,Hatchback,17190,1,2018,18.9,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
352000.0,Hatchback,58323,1,2013,18.9,Petrol,2013,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
600000.0,Sedan,40765,1,2015,17.8,Petrol,2015,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,8,0,4.0
479000.0,Hatchback,58198,2,2016,26.0,Petrol,2016,Third Party,5,Automatic,5,BANGALORE,3.0,Third Party,0.0,1,2,0,4.0
559000.0,Hatchback,42976,1,2019,18.9,Petrol,2019,Third Party insurance,5,Manual,5,BANGALORE,4.0,Third Party insurance,0.0,0,2,0,4.0
1519000.0,SUV,104507,1,2017,18.9,Diesel,2017,Comprehensive,5,Automatic,7,BANGALORE,5.0,Comprehensive,0.0,1,7,0,3.0
409000.0,Sedan,44074,1,2012,22.41,Petrol,2012,Third Party,5,Manual,5,BANGALORE,3.0,Third Party,0.0,0,8,0,4.0
539000.0,Hatchback,21000,1,2017,21.79,Petrol,2017,Comprehensive,5,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,2,0,4.0
737000.0,Hatchback,14089,1,2021,22.38,Petrol,2021,Third Party,5,Manual,5,BANGALORE,3.0,Third Party,0.0,0,2,0,4.0
526000.0,Sedan,94378,2,2014,26.0,Diesel,2014,Comprehensive,6,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,8,0,3.0
1350000.0,SUV,71000,1,2016,16.0,Diesel,2016,Comprehensive,6,Automatic,7,BANGALORE,5.0,Comprehensive,0.0,1,7,0,3.0
3194000.0,SUV,174000,1,2018,14.24,Diesel,2018,Comprehensive,6,Manual,7,BANGALORE,5.0,Comprehensive,0.0,0,7,0,3.0
585000.0,Hatchback,58000,2,2016,18.9,Petrol,2016,Comprehensive,4,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,2,0,4.0
1495000.0,SUV,113000,2,2014,15.73,Diesel,2014,Third Party insurance,7,Automatic,5,BANGALORE,4.0,Third Party insurance,0.0,1,7,0,3.0
1090000.0,SUV,170402,2,2010,11.1,Diesel,2010,Comprehensive,6,Automatic,7,BANGALORE,5.0,Comprehensive,0.0,1,7,0,3.0
2100000.0,Sedan,30000,2,2016,18.25,Diesel,2016,Comprehensive,7,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,8,0,3.0
590000.0,Sedan,59000,1,2014,19.1,Petrol,2014,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,8,0,4.0
1899000.0,SUV,25883,1,2021,15.1,Diesel,2021,Comprehensive,6,Manual,7,BANGALORE,5.0,Comprehensive,0.0,0,7,0,3.0
1545000.0,SUV,32746,1,2021,20.08,Petrol,2021,Comprehensive,6,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,7,0,4.0
1895000.0,Sedan,35038,1,2017,14.7,Petrol,2017,Comprehensive,7,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,8,0,4.0
540000.0,Hatchback,38995,3,2018,19.0,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
491000.0,Hatchback,61102,1,2013,22.38,Petrol,2013,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
625000.0,SUV,132000,2,2012,17.67,Diesel,2012,Comprehensive,6,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,7,0,3.0
436000.0,Hatchback,52288,1,2021,21.7,Petrol,2021,Third Party insurance,5,Manual,5,BANGALORE,4.0,Third Party insurance,0.0,0,2,0,4.0
616000.0,Hatchback,69054,1,2017,19.0,Petrol,2017,Comprehensive,5,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,2,0,4.0
675000.0,SUV,67000,1,2015,13.24,Petrol,2015,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,7,0,4.0
533000.0,Sedan,51745,2,2015,26.59,Diesel,2015,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,8,0,3.0
3495000.0,Convertibles,22000,1,2015,16.6,Petrol,2015,Comprehensive,7,Automatic,4,BANGALORE,5.0,Comprehensive,0.0,1,0,0,4.0
626000.0,Hatchback,11268,2,2017,18.9,Petrol,2017,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,2,0,4.0
632000.0,Hatchback,24357,1,2020,20.09,Petrol,2020,Zero Dep,5,Manual,5,BANGALORE,6.0,Zero Dep,0.0,0,2,0,4.0
1775000.0,MUV,157000,2,2016,13.68,Diesel,2016,Comprehensive,5,Manual,8,BANGALORE,5.0,Comprehensive,0.0,0,4,0,3.0
1000000.0,Sedan,9982,1,2018,17.0,Petrol,2018,Comprehensive,5,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,8,0,4.0
2875000.0,Sedan,22000,1,2020,20.38,Diesel,2020,Comprehensive,6,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,8,0,3.0
1085000.0,SUV,27000,1,2020,18.0,Petrol,2020,Comprehensive,6,Manual,5,BANGALORE,5.0,Comprehensive,0.0,0,7,0,4.0
2275000.0,Sedan,68000,2,2017,22.69,Diesel,2017,Comprehensive,8,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,8,0,3.0
1365000.0,SUV,19000,1,2022,18.15,Petrol,2022,Comprehensive,7,Automatic,5,BANGALORE,5.0,Comprehensive,0.0,1,7,0,4.0
